objectid,title,creator,author,date,display_date,description,subject,source,type,format,filename
ML_feb_2006,Aproximación didáctica al pensamiento complejo de Edgar Morin,Revista Mundo Lector,Rafael Ayala Sáenz,2006-02,febrero de 2006,"Introducción didáctica al pensamiento complejo de Edgar Morin, con énfasis en sus principios clave y su aplicación a la comprensión de la realidad desde una mirada crítica, integradora y relacional.",Mundo Lector; Pensamiento complejo; Edgar Morin; Epistemología; Educación; Teoría del conocimiento,"Revista Mundo Lector, febrero de 2006",text,application/pdf,ML_feb_2006.pdf
ML_feb_2007,Algunos inventos para medir el inasible tiempo,Revista Mundo Lector,Rafael Ayala Sáenz,2007-02,febrero de 2007,"Recorrido histórico por los primeros instrumentos para medir el tiempo, como Stonehenge y el calendario muisca, mostrando su importancia para la agricultura, la religión y la organización social.",Mundo Lector; Medición del tiempo; Stonehenge; Calendario muisca; Historia de la ciencia; Arqueoastronomía,"Revista Mundo Lector, febrero de 2007",text,application/pdf,ML_feb_2007.pdf
ML_feb_2008,Periodistas y comunicadores sociales (cuarta parte),Revista Mundo Lector,Rafael Ayala Sáenz,2008-02,febrero de 2008,"Reflexión sobre el poder de los medios de comunicación y del periodista en la sociedad contemporánea. Análisis de su papel en la producción de información, la creación de opinión pública y la responsabilidad social que conllevan.",Mundo Lector; Periodismo; Poder mediático; Opinión pública; Ética periodística; Comunicación,"Revista Mundo Lector, febrero de 2008",text,application/pdf,ML_feb_2008.pdf
ML_feb_2009,¿Qué evalúa una nota?,Revista Mundo Lector,Rafael Ayala Sáenz,2009-02,febrero de 2009,"El artículo aborda la naturaleza de la evaluación en el ámbito educativo, cuestionando la validez de convertir el aprendizaje en cifras o notas. Se analiza la relación entre la medición y el aprendizaje, a partir de la teoría del isomorfismo matemático.",Mundo Lector; Evaluación Educativa; Medición del Aprendizaje; Isomorfismo Matemático; Educación; Pedagogía; Ciencias; Evaluación; Calificación; Aprendizaje; Isomorfismo; Medición Educativa; Crítica Pedagógica; Epistemología; Valoración; Polisemia; Sociales; Métodos de Evaluación,"Revista Mundo Lector, febrero 2009",text,application/pdf,ML_feb_2009.pdf
ML_jul-ago_2008,Competencias comunicativas: Lineamientos curriculares del lenguaje,Revista Mundo Lector,Rafael Ayala Sáenz,2008-07,julio-agosto de 2008,"Análisis de las competencias comunicativas desde una perspectiva semiótica, redefiniendo los actos de leer, escribir, hablar y escuchar. Presenta seis competencias clave para formar lectores competentes, basadas en lineamientos curriculares del lenguaje, e insta a los educadores a transformar las prácticas pedagógicas.",Mundo Lector; Educación; Competencias Comunicativas; Lectura; Escritura; Semiótica; Lineamientos Curriculares; Lenguaje; Pedagogía; Enseñanza-Aprendizaje; ; Interpretación; Argumentación; Pragmática; Comprensión Lectora; Producción Textual; Instituto Caro y Cuervo,"Secretaría de Educación Distrital, Revista Mundo Lector, julio-agosto 2008",text,application/pdf,ML_jul-ago_2008.pdf
ML_jul_2007,Orígenes del español (Segunda parte),Revista Mundo Lector,Rafael Ayala Sáenz,2007-07,Julio de 2007,"Artículo de divulgación histórica sobre la evolución del latín y las lenguas romances en la península ibérica. Se explican procesos como la expansión romana, la influencia germánica y el surgimiento del español como lengua dominante.",Mundo Lector; Historia Del Español; Latín; Lengua española; Historia del idioma; Lenguas romances; Romanización,"Revista Mundo Lector, Julio de 2007",text,application/pdf,ML_jul_2007.pdf
ML_mar_2006,El negro es el color del rock,Revista Mundo Lector,Rafael Ayala Sáenz,2006-03,marzo de 2006,"Análisis histórico sobre los orígenes africanos del rock, explorando su evolución desde los cantos de resistencia de personas esclavizadas hasta géneros como blues, gospel y jazz. Examina la conexión entre la música, la lucha por derechos civiles liderada por Martin Luther King Jr., y su transformación en rock and roll como expresión de libertad y protesta contra sistemas opresivos.",Mundo Lector; Música; Rock and Roll; Esclavitud; Cultura Afroamericana; Blues; Jazz; Gospel; Derechos Civiles; Martin Luther King; Diáspora Africana; Resistencia Cultural; Historia Musical; Capitalismo; Expresión Artística; Ku Klux Klan; Liberación Racial,"Revista Mundo Lector, marzo 2006",text,application/pdf,ML_mar_2006.pdf
ML_mar_2007,COMUNICACIÓN: Algunos viejos consejos para jóvenes consejeros,Revista Mundo Lector,Rafael Ayala Sáenz,2007-03,marzo de 2007,"Reflexión sobre la comunicación como proceso esencial para la construcción de acuerdos en comunidades. Analiza el rol del mediador frente al intermediario, los principios de Grice para comunicación efectiva, y la importancia de la escucha activa. Explora la relación entre expresión, interacción social y transformación comunitaria desde perspectivas semiológicas.",Mundo Lector; Comunicación; Mediación; Liderazgo; Escucha Activa; Construcción de Acuerdos; Interacción Social; Semiótica; Expresión; Comunidad; Grice; Alexander Luria; Retroalimentación; Educación; Diálogo; Interpretación,"Revista Mundo Lector, marzo 2007",text,application/pdf,ML_mar_2007.pdf
ML_mar_2009,Aportes de la educación no formal en la historia de la humanidad,Revista Mundo Lector,Rafael Ayala Sáenz,2009-03,marzo de 2009,"Análisis histórico del papel de la educación no formal en civilizaciones antiguas, destacando su contribución a formaciones como la de Darwin, los modelos griegos (Platón, Sócrates), romanos y medievales. Contrasta su enfoque práctico basado en competencias con la educación formal contemporánea, cuestionando la sobrevaloración de los títulos académicos.",Mundo Lector; Educación; Educación No Formal; Historia de la Educación; Grecia Antigua; Roma Antigua; Edad Media; Competencias; Títulos Académicos; Formación Integral; Charles Darwin; Platón; Sócrates; Pedagogía Histórica; Corporaciones Medievales; Obra Maestra; Aprendizaje Práctico; Crítica Educativa;,"Revista Mundo Lector, marzo 2009",text,application/pdf,ML_mar_2009.pdf
ML_may_2005,Los Derechos Humanos aún tienen valor,Revista Mundo Lector,Rafael Ayala Sáenz,2005-05,mayo de 2005,"Reflexión sobre la crisis contemporánea de los valores humanos, analizando la brecha entre la Declaración Universal de Derechos Humanos (1948) y su implementación real. Examina el impacto del neoliberalismo en la erosión de la dignidad humana, cuestionando la priorización del consumo sobre los derechos fundamentales y la complicidad de poderes económicos en la pauperización global.",Mundo Lector; Investigación; Derechos Humanos; Dignidad; Valores Sociales; Declaración Universal; Neoliberalismo; Crítica Social; Contrato Social; Antropocentrismo; ONU; Historia Contemporánea; Ética; ; Pobreza; Consumismo; Corrupción; Reganomics; Thatcherismo; Reciprocidad,"Secretaría de Educación Distrital, Revista Mundo Lector, mayo 2005",text,application/pdf,ML_may_2005.pdf
ML_nov_2005,Acerca de la lateralidad cerebral: Dos caras de la misma moneda,Revista Mundo Lector,Rafael Ayala Sáenz,2005-11,noviembre de 2005,"Análisis de la especialización de los hemisferios cerebrales, explorando diferencias fisiológicas (materia gris vs. blanca) y cognitivas (pensamiento analítico vs. holístico). Examina cómo el hemisferio izquierdo procesa información secuencial y verbal, mientras el derecho gestiona percepción espacial y creatividad, destacando la importancia del equilibrio interhemisférico para el aprendizaje y sus implicaciones pedagógicas.",Mundo Lector; Investigación; Neurociencia; Cerebro; Hemisferios Cerebrales; Lateralidad; Roger Sperry; Cuerpo Calloso; Cognición; Aprendizaje; Educación; Pensamiento Analítico; Pensamiento Holístico; Materia Gris; Materia Blanca; Neuropsicología; Funciones Cognitivas; Procesamiento de Información; Equilibrio Cerebral; Pedagogía,"Secretaría de Educación Distrital, Revista Mundo Lector, noviembre 2005",text,application/pdf,ML_nov_2005.pdf
ML_nov_2007,PERIODISTAS Y COMUNICADORES SOCIALES. Formadores del siglo XXI,Revista Mundo Lector,Rafael Ayala Sáenz,2007-11,noviembre de 2007,"Es+A23:H23te artículo examina el papel de los periodistas y comunicadores sociales como formadores del siglo XXI. Se analiza cómo la educación ha sido influenciada por los medios de comunicación y la tecnología, replanteando la relación entre la escuela, la sociedad y los agentes de información.",Mundo Lector; Educación; Comunicación; Periodismo; Medios de Comunicación; Formación Ciudadana; Tecnología Educativa; Cultura Digital,"Revista Mundo Lector, noviembre 2007",text,application/pdf,ML_nov_2007.pdf
ML_oct_2004,Emociones inteligentes para vivir,Revista Mundo Lector,Rafael Ayala Sáenz,2004-10,octubre de 2004,"Análisis neurocientífico de la inteligencia emocional, explorando el papel de la amígdala en el procesamiento emocional y su relación con el sistema límbico. Examina las teorías de Daniel Goleman sobre el circuito tálamo-amígdala y de Howard Gardner sobre inteligencias múltiples, destacando la importancia del equilibrio entre razón y emoción para el desarrollo humano integral.",Mundo Lector; Investigación; Inteligencia Emocional; Neurociencia; Amígdala; Daniel Goleman; Howard Gardner; Sistema Límbico; Cerebro; Emociones; Circuito Tálamo-Amígdala; Lóbulos Prefrontales; Inteligencias Múltiples; Psicología; Educación; Desarrollo Personal; Regulación Emocional; Habilidades Sociales; Neurofisiología; Cognición,"Secretaría de Educación Distrital, Revista Mundo Lector, octubre 2004",text,application/pdf,ML_oct_2004.pdf
ML_oct_2006,Los nombres que no leemos,Revista Mundo Lector,Rafael Ayala Sáenz,2006-10,octubre de 2006,"Reflexión sobre los créditos cinematográficos ignorados y los roles detrás de la producción fílmica. Contrasta el cine popular (entretenimiento comercial) y el cine de contenido (exploración crítica de conflictos humanos), analizando sus diferencias en tratamiento técnico, narrativo y recepción de premios (Oscar vs. Cannes).",Mundo Lector; Cine; Industria Cinematográfica; Créditos; Producción Fílmica; Cine Popular; Cine de Contenido; Wim Wenders; Festival de Cannes; Premios Oscar; Dirección Cinematográfica; Guion; Fotografía; Sonido; Efectos Especiales; Arte; Crítica Cultural; ; Recepción de Audiencias,"Secretaría de Educación Distrital, Revista Mundo Lector, octubre 2006",text,application/pdf,ML_oct_2006.pdf
ML_sep_2004,NO PODEMOS PEDIRLE PERAS AL OLMO. No podemos pedirle el desarrollo de pensamiento complejoal paradigma disciplinar de la pedagogía tradicional,Revista Mundo Lector,Rafael Ayala Sáenz,2004-09,septiembre de 2004,"Artículo que critica la pedagogía tradicional por su incapacidad para desarrollar pensamiento complejo. Basado en neurociencias de Rodolfo Llinás y la teoría educativa de Edgar Morin, propone transformar el sistema educativo colombiano mediante enfoques interdisciplinarios que fomenten capacidades cognitivas superiores y competencias críticas.",Mundo Lector; Investigación; Educación; Pensamiento Complejo; Neurociencias; Pedagogía Crítica; Paradigma Disciplinar; Cognición; Reforma Educativa; Colombia; Currículo; Competencias Cognitivas; Edgar Morin; Rodolfo Llinás; Enseñanza-Aprendizaje,"Secretaría de Educación Distrital, Revista Mundo Lector, septiembre 2004",text,application/pdf,ML_sep_2004.pdf
ML_sep_2007,Orígenes del español (Cuarta y última parte),Revista Mundo Lector,Rafael Ayala Sáenz,2007-09,septiembre de 2007,"Cuarta parte de la serie sobre los orígenes del español, que cubre la unificación de los reinos bajo los Reyes Católicos, la evolución del idioma, el descubrimiento de América y la influencia de las lenguas indígenas y africanas en el español.",Mundo Lector; Educación; Lengua española; Historia del español; Reyes Católicos; Descubrimiento de América; Lenguas indígenas; Influencia africana; Lingüística histórica; Colonización española; Intercambio cultural; Lexicografía,"Secretaría de Educación Distrital, Revista Mundo Lector, septiembre 2007",text,application/pdf,ML_sep_2007.pdf
