objectid,title,creator,author,date,display_date,description,subject,location,latitude,longitude,source,object_location,type,youtubeid,format,filename,
ML_feb_2006,Aproximación didáctica al pensamiento complejo de Edgar Morin,Revista Mundo Lector,Rafael Ayala Sáenz,2006-02,Febrero de 2006,"Introducción didáctica al pensamiento complejo de Edgar Morin, con énfasis en sus principios clave y su aplicación a la comprensión de la realidad desde una mirada crítica, integradora y relacional.",Mundo Lector; Pensamiento complejo; Edgar Morin; Epistemología; Educación; Teoría del conocimiento,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, febrero de 2006",,text,,application/pdf,ML_feb_2006.pdf,
ML_feb_2007,Algunos inventos para medir el inasible tiempo,Revista Mundo Lector,Rafael Ayala Sáenz,2007-02,Febrero de 2007,"Recorrido histórico por los primeros instrumentos para medir el tiempo, como Stonehenge y el calendario muisca, mostrando su importancia para la agricultura, la religión y la organización social.",Mundo Lector; Medición del tiempo; Stonehenge; Calendario muisca; Historia de la ciencia; Arqueoastronomía,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, febrero de 2007",,text,,application/pdf,ML_feb_2007.pdf,
ML_feb_2008,Periodistas y comunicadores sociales (cuarta parte),Revista Mundo Lector,Rafael Ayala Sáenz,2008-02,Febrero de 2008,"Reflexión sobre el poder de los medios de comunicación y del periodista en la sociedad contemporánea. Análisis de su papel en la producción de información, la creación de opinión pública y la responsabilidad social que conllevan.",Mundo Lector; Periodismo; Poder mediático; Opinión pública; Ética periodística; Comunicación,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, febrero de 2008",,text,,application/pdf,ML_feb_2008.pdf,
ML_feb_2009,¿Qué evalúa una nota?,Revista Mundo Lector,Rafael Ayala Sáenz,2009-02,Febrero de 2009,"El artículo aborda la naturaleza de la evaluación en el ámbito educativo, cuestionando la validez de convertir el aprendizaje en cifras o notas. Se analiza la relación entre la medición y el aprendizaje, a partir de la teoría del isomorfismo matemático.",Mundo Lector; Evaluación Educativa; Medición del Aprendizaje; Isomorfismo Matemático; Educación; Pedagogía; Ciencias; Evaluación; Calificación; Aprendizaje; Isomorfismo; Medición Educativa; Crítica Pedagógica; Epistemología; Valoración; Polisemia; Sociales; Métodos de Evaluación,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, febrero 2009",,text,,application/pdf,ML_feb_2009.pdf,
ML_jul-ago_2008,Competencias comunicativas: Lineamientos curriculares del lenguaje,Revista Mundo Lector,Rafael Ayala Sáenz,2008-07,Julio-Agosto de 2008,"Análisis de las competencias comunicativas desde una perspectiva semiótica, redefiniendo los actos de leer, escribir, hablar y escuchar. Presenta seis competencias clave para formar lectores competentes, basadas en lineamientos curriculares del lenguaje, e insta a los educadores a transformar las prácticas pedagógicas.",Mundo Lector; Educación; Competencias Comunicativas; Lectura; Escritura; Semiótica; Lineamientos Curriculares; Lenguaje; Pedagogía; Enseñanza-Aprendizaje; ; Interpretación; Argumentación; Pragmática; Comprensión Lectora; Producción Textual; Instituto Caro y Cuervo,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, julio-agosto 2008",,text,,application/pdf,ML_jul-ago_2008.pdf,
ML_jul_2007,Orígenes del español (Segunda parte),Revista Mundo Lector,Rafael Ayala Sáenz,2007-07,Julio de 2007,"Artículo de divulgación histórica sobre la evolución del latín y las lenguas romances en la península ibérica. Se explican procesos como la expansión romana, la influencia germánica y el surgimiento del español como lengua dominante.",Mundo Lector; Historia Del Español; Latín; Lengua española; Historia del idioma; Lenguas romances; Romanización,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, Julio de 2007",,text,,application/pdf,ML_jul_2007.pdf,
ML_mar_2006,El negro es el color del rock,Revista Mundo Lector,Rafael Ayala Sáenz,2006-03,Marzo de 2006,"Análisis histórico sobre los orígenes africanos del rock, explorando su evolución desde los cantos de resistencia de personas esclavizadas hasta géneros como blues, gospel y jazz. Examina la conexión entre la música, la lucha por derechos civiles liderada por Martin Luther King Jr., y su transformación en rock and roll como expresión de libertad y protesta contra sistemas opresivos.",Mundo Lector; Música; Rock and Roll; Esclavitud; Cultura Afroamericana; Blues; Jazz; Gospel; Derechos Civiles; Martin Luther King; Diáspora Africana; Resistencia Cultural; Historia Musical; Capitalismo; Expresión Artística; Ku Klux Klan; Liberación Racial,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, marzo 2006",,text,,application/pdf,ML_mar_2006.pdf,
ML_mar_2007,COMUNICACIÓN: Algunos viejos consejos para jóvenes consejeros,Revista Mundo Lector,Rafael Ayala Sáenz,2007-03,Marzo de 2007,"Reflexión sobre la comunicación como proceso esencial para la construcción de acuerdos en comunidades. Analiza el rol del mediador frente al intermediario, los principios de Grice para comunicación efectiva, y la importancia de la escucha activa. Explora la relación entre expresión, interacción social y transformación comunitaria desde perspectivas semiológicas.",Mundo Lector; Comunicación; Mediación; Liderazgo; Escucha Activa; Construcción de Acuerdos; Interacción Social; Semiótica; Expresión; Comunidad; Grice; Alexander Luria; Retroalimentación; Educación; Diálogo; Interpretación,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, marzo 2007",,text,,application/pdf,ML_mar_2007.pdf,
ML_mar_2009,Aportes de la educación no formal en la historia de la humanidad,Revista Mundo Lector,Rafael Ayala Sáenz,2009-03,Marzo de 2009,"Análisis histórico del papel de la educación no formal en civilizaciones antiguas, destacando su contribución a formaciones como la de Darwin, los modelos griegos (Platón, Sócrates), romanos y medievales. Contrasta su enfoque práctico basado en competencias con la educación formal contemporánea, cuestionando la sobrevaloración de los títulos académicos.",Mundo Lector; Educación; Educación No Formal; Historia de la Educación; Grecia Antigua; Roma Antigua; Edad Media; Competencias; Títulos Académicos; Formación Integral; Charles Darwin; Platón; Sócrates; Pedagogía Histórica; Corporaciones Medievales; Obra Maestra; Aprendizaje Práctico; Crítica Educativa;,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, marzo 2009",,text,,application/pdf,ML_mar_2009.pdf,
ML_may_2005,Los Derechos Humanos aún tienen valor,Revista Mundo Lector,Rafael Ayala Sáenz,2005-05,Mayo de 2005,"Reflexión sobre la crisis contemporánea de los valores humanos, analizando la brecha entre la Declaración Universal de Derechos Humanos (1948) y su implementación real. Examina el impacto del neoliberalismo en la erosión de la dignidad humana, cuestionando la priorización del consumo sobre los derechos fundamentales y la complicidad de poderes económicos en la pauperización global.",Mundo Lector; Investigación; Derechos Humanos; Dignidad; Valores Sociales; Declaración Universal; Neoliberalismo; Crítica Social; Contrato Social; Antropocentrismo; ONU; Historia Contemporánea; Ética; ; Pobreza; Consumismo; Corrupción; Reganomics; Thatcherismo; Reciprocidad,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, mayo 2005",,text,,application/pdf,ML_may_2005.pdf,
ML_nov_2005,Acerca de la lateralidad cerebral: Dos caras de la misma moneda,Revista Mundo Lector,Rafael Ayala Sáenz,2005-11,Noviembre de 2005,"Análisis de la especialización de los hemisferios cerebrales, explorando diferencias fisiológicas (materia gris vs. blanca) y cognitivas (pensamiento analítico vs. holístico). Examina cómo el hemisferio izquierdo procesa información secuencial y verbal, mientras el derecho gestiona percepción espacial y creatividad, destacando la importancia del equilibrio interhemisférico para el aprendizaje y sus implicaciones pedagógicas.",Mundo Lector; Investigación; Neurociencia; Cerebro; Hemisferios Cerebrales; Lateralidad; Roger Sperry; Cuerpo Calloso; Cognición; Aprendizaje; Educación; Pensamiento Analítico; Pensamiento Holístico; Materia Gris; Materia Blanca; Neuropsicología; Funciones Cognitivas; Procesamiento de Información; Equilibrio Cerebral; Pedagogía,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, noviembre 2005",,text,,application/pdf,ML_nov_2005.pdf,
ML_nov_2007,PERIODISTAS Y COMUNICADORES SOCIALES. Formadores del siglo XXI,Revista Mundo Lector,Rafael Ayala Sáenz,2007-11,Noviembre de 2007,"Este artículo examina el papel de los periodistas y comunicadores sociales como formadores del siglo XXI. Se analiza cómo la educación ha sido influenciada por los medios de comunicación y la tecnología, replanteando la relación entre la escuela, la sociedad y los agentes de información.",Mundo Lector; Educación; Comunicación; Periodismo; Medios de Comunicación; Formación Ciudadana; Tecnología Educativa; Cultura Digital,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, noviembre 2007",,text,,application/pdf,ML_nov_2007.pdf,
ML_oct_2004,Emociones inteligentes para vivir,Revista Mundo Lector,Rafael Ayala Sáenz,2004-10,Octubre de 2004,"Análisis neurocientífico de la inteligencia emocional, explorando el papel de la amígdala en el procesamiento emocional y su relación con el sistema límbico. Examina las teorías de Daniel Goleman sobre el circuito tálamo-amígdala y de Howard Gardner sobre inteligencias múltiples, destacando la importancia del equilibrio entre razón y emoción para el desarrollo humano integral.",Mundo Lector; Investigación; Inteligencia Emocional; Neurociencia; Amígdala; Daniel Goleman; Howard Gardner; Sistema Límbico; Cerebro; Emociones; Circuito Tálamo-Amígdala; Lóbulos Prefrontales; Inteligencias Múltiples; Psicología; Educación; Desarrollo Personal; Regulación Emocional; Habilidades Sociales; Neurofisiología; Cognición,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, octubre 2004",,text,,application/pdf,ML_oct_2004.pdf,
ML_oct_2006,Los nombres que no leemos,Revista Mundo Lector,Rafael Ayala Sáenz,2006-10,Octubre de 2006,"Reflexión sobre los créditos cinematográficos ignorados y los roles detrás de la producción fílmica. Contrasta el cine popular (entretenimiento comercial) y el cine de contenido (exploración crítica de conflictos humanos), analizando sus diferencias en tratamiento técnico, narrativo y recepción de premios (Oscar vs. Cannes).",Mundo Lector; Cine; Industria Cinematográfica; Créditos; Producción Fílmica; Cine Popular; Cine de Contenido; Wim Wenders; Festival de Cannes; Premios Oscar; Dirección Cinematográfica; Guion; Fotografía; Sonido; Efectos Especiales; Arte; Crítica Cultural; ; Recepción de Audiencias,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, octubre 2006",,text,,application/pdf,ML_oct_2006.pdf,
ML_sep_2004,NO PODEMOS PEDIRLE PERAS AL OLMO. No podemos pedirle el desarrollo de pensamiento complejoal paradigma disciplinar de la pedagogía tradicional,Revista Mundo Lector,Rafael Ayala Sáenz,2004-09,Septiembre de 2004,"Artículo que critica la pedagogía tradicional por su incapacidad para desarrollar pensamiento complejo. Basado en neurociencias de Rodolfo Llinás y la teoría educativa de Edgar Morin, propone transformar el sistema educativo colombiano mediante enfoques interdisciplinarios que fomenten capacidades cognitivas superiores y competencias críticas.",Mundo Lector; Investigación; Educación; Pensamiento Complejo; Neurociencias; Pedagogía Crítica; Paradigma Disciplinar; Cognición; Reforma Educativa; Colombia; Currículo; Competencias Cognitivas; Edgar Morin; Rodolfo Llinás; Enseñanza-Aprendizaje,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, septiembre 2004",,text,,application/pdf,ML_sep_2004.pdf,
ML_sep_2007,Orígenes del español (Cuarta y última parte),Revista Mundo Lector,Rafael Ayala Sáenz,2007-09,Septiembre de 2007,"Cuarta parte de la serie sobre los orígenes del español, que cubre la unificación de los reinos bajo los Reyes Católicos, la evolución del idioma, el descubrimiento de América y la influencia de las lenguas indígenas y africanas en el español.",Mundo Lector; Educación; Lengua española; Historia del español; Reyes Católicos; Descubrimiento de América; Lenguas indígenas; Influencia africana; Lingüística histórica; Colonización española; Intercambio cultural; Lexicografía,"Bogotá, Colombia",4.7098132,-74.0845584,"Revista Mundo Lector, septiembre 2007",,text,,application/pdf,ML_sep_2007.pdf,
rc_2009,"Reintegración Ciudadana, Formación de Capital Social",Alcaldía Mayor de Bogotá D.C.; Secretaría de Gobierno; Escuela Galán para el Desarrollo de la Democracia; DAACD,Rafael Ayala Sáenz (Tallerista); Astrid Yepes (Coordinadora de proyecto); y otros colaboradores.,2009-05,Mayo de 2009,"Informe que evalúa un modelo de reintegración comunitaria en Bogotá (2006-2009), donde excombatientes, desplazados, líderes comunitarios y policías construyeron conjuntamente capital social. Documenta iniciativas como la Asociación Nacional Enlazando Vidas (ANEV) y la obra teatral ""Viaje sin Retorno"", destacando transformaciones en percepciones mutuas y mecanismos de reconciliación.",Secretaria de Gobierno de Bogotá; Alcaldía Mayor de Bogotá; Escuela Galán; Participación académica;Reintegración social; Capital social; Conflicto armado; Víctimas; Excombatientes; Liderazgo comunitario; Reconciliación,Escuela Galán para el Desarrollo de la Democracia,4.59584080,-74.07343746,Secretaria de Gobierno de Bogotá,,text,,application/pdf,rc_2009.pdf,
efpc_2006,Escuela de Formación Política para Consejeros de Juventud y Líderes Locales,Alcaldía Mayor de Bogotá D.C.; Secretaría de Gobierno; Escuela Galán para el Desarrollo de la Democracia; DAACD,Rafael Ayala Sáenz (Equipo Componente de Comunicación asesoría al trabajo de iniciativas locales y gestión y Tallerista); Tania Roció Figueroa Bedoya (Directora de proyecto); y otros colaboradores.,2006-11,Noviembre de 2006,"Memorias del proceso formativo llevado a cabo en Bogotá entre abril y noviembre de 2006, que reunió a jóvenes consejeros locales de juventud. El objetivo fue fortalecer su liderazgo político a través de un modelo pedagógico participativo, basado en la pedagogía crítica y el diálogo de saberes. El documento describe la estructura metodológica, los ejes temáticos (cultura, democracia, políticas públicas, organización juvenil y comunicación), así como el contexto institucional y pedagógico del proyecto.",Juventud; Formación política; Participación ciudadana; Educación no formal; Consejos de Juventud; Liderazgo juvenil; Escuela Galán; DAACD; Alcaldía de Bogotá; Política Pública de Juventud;,Escuela Galán para el Desarrollo de la Democracia,4.59584080,-74.07343746,Escuela Galán para el Desarrollo de la Democracia; DAACD; Impreso abril de 2007,,text,,application/pdf,efpc_2006.pdf,
efpc_2006_1,La comunicación: algunos viejos consejos para jóvenes consejeros y líderes juveniles,Alcaldía Mayor de Bogotá D.C.; Secretaría de Gobierno; Escuela Galán para el Desarrollo de la Democracia; DAACD,Rafael Ayala Sáenz,2006-11,Noviembre de 2006,"Artículo incluido en las memorias de la Escuela de Formación Política para Consejeros de Juventud. El autor reflexiona sobre el papel transformador de la comunicación en procesos de liderazgo juvenil. Propone principios como la escucha activa, el diálogo y la reciprocidad como fundamentos éticos y políticos para la acción colectiva.",Comunicación; Juventud; Liderazgo juvenil; Participación; Educación popular; Escucha activa; Ética del diálogo; Escuela Galán; Alcaldía de Bogotá,Escuela Galán para el Desarrollo de la Democracia,4.59584080,-74.07343746,Escuela Galán para el Desarrollo de la Democracia; DAACD; Impreso abril de 2007,,text,,application/pdf,efpc_2006_1.pdf,
mm_2009,"MANUAL DE MEDIACIÓN: UNA COMUNICACIÓN POLÍTICA PARA EL DESARROLLO, PROMOCIÓN Y LIDERAZGOS PARA LA CONVIVENCIA",Alcaldía Mayor de Bogotá D.C.; Secretaría de Gobierno; Escuela Galán para el Desarrollo de la Democracia; DAACD,Rafael Ayala Sáenz,2009-03,Marzo de 2009,"Manual que aborda la comunicación política como herramienta para la convivencia urbana, diferenciando la mediación social de la intermediación. Desarrolla conceptos clave para la formación de liderazgos democráticos, análisis de conflictos y estrategias de comunicación asertiva en el contexto bogotano.",Comunicación Política; Mediación Social; Resolución de Conflictos; Democracia Participativa; Liderazgo Comunitario; Convivencia Urbana; Derechos Humanos; Escuela Galán; Alcaldía de Bogotá,Escuela Galán para el Desarrollo de la Democracia,4.59584080,-74.07343746,"Alcaldía Mayor de Bogotá D.C., Secretaría de Gobierno, Programa de Atención Complementaria, marzo 2009",,text,,application/pdf,mm_2009.pdf,
esc_lid_2008,"Escuela de Liderazgos para la Convivencia en Bogotá: Un modelo de reconciliación, reconstrucción de tejido social y construcción de capital social",Alcaldía Mayor de Bogotá D.C.; Secretaría de Gobierno; Escuela Galán para el Desarrollo de la Democracia; DAACD,Rafael Ayala Saénz; Astrid Yepes Ladino; Equipo de trabajo Escuela Galán,2008-05,Mayo de 2008,"Documento que presenta el modelo y resultados de la segunda etapa (2008) de la Escuela de Promoción de Liderazgos para la Convivencia en Bogotá. Incluye iniciativas comunitarias y relatos de vida de participantes, enfocados en reconciliación, reconstrucción del tejido social y construcción de capital social en comunidades afectadas por el conflicto.",Liderazgo comunitario; Reconciliación; Tejido social; Capital social; Reintegración; Conflicto armado; Iniciativas productivas; Memoria histórica; Educación para la paz; Escuela Galán; Alcaldía de Bogotá,Escuela Galán para el Desarrollo de la Democracia,4.59584080,-74.07343746,Escuela Galán para el Desarrollo de la Democracia,,text,,application/pdf,esc_lid_2008.pdf,
esc_lid_2008_1,Elogio a la escucha,Alcaldía Mayor de Bogotá D.C.; Secretaría de Gobierno; Escuela Galán para el Desarrollo de la Democracia; DAACD,Rafael Ayala Sáenz,2008-05,Mayo de 2008,"Reflexión sobre la escucha como acto ciudadano esencial para la reconciliación, la reconstrucción del tejido social y la convivencia. Destaca el valor de los testimonios de vida entre antiguos contradictores, en el marco del modelo pedagógico desarrollado por la Escuela de Liderazgos para la Convivencia en Bogotá.",Escucha Activa; Reconciliación; Testimonios de Vida Liderazgo; Comunicación; Paz; Ciudadanía; Convivencia; Derechos Humanos; Tejido Social; Posconflicto; Educación; Escuela Galán; Alcaldía de Bogotá; Crítica,Escuela Galán para el Desarrollo de la Democracia,4.59584080,-74.07343746,Escuela Galán para el Desarrollo de la Democracia,,text,,application/pdf,esc_lid_2008_1.pdf,
uge_2005,Re-corridos: las múltiples entradas de las salidas pedagógicas,Alcaldía Mayor de Bogotá D.C.; Secretaría de Gobierno; Escuela Galán para el Desarrollo de la Democracia; DAACD,Rafael Ayala Sáenz (Coordinador Grupo E); Alonso Sáenz (Monitor); varios autores docentes,2005-11,Noviembre de 2005,"Este texto propone una reflexión crítica sobre las salidas pedagógicas como experiencias formativas que permiten reconfigurar los saberes, el territorio y el papel del estudiante. A partir de la metáfora del recorrido, el autor explora cómo estos ejercicios pueden convertirse en entradas hacia nuevas formas de conocer, habitar y aprender.",Salidas Pedagógicas; Educación Crítica; Experiencias Formativas; Universidad; Territorio; Aprendizaje Experiencial; Subjetividad; Pedagogía; Interdisciplinariedad; Formación Docente; Escuela Galán; Alcaldía de Bogotá,Secretaria General Alcaldía Mayor de Bogotá,4.5986498,-74.0764291,"Universidad de los Andes, Observatorio de la Universidad Colombiana, noviembre 2005",,text,,application/pdf,uge_2005.pdf,
ts_gesc_2005,De la ciudad y la escuela: todos tenemos una historia que contar,Alcaldía Mayor de Bogotá D.C.; Secretaría de Gobierno; Escuela Galán para el Desarrollo de la Democracia; DAACD; Secretaría de Educación del Distrito; Instituto para la Investigación Educativa y el Desarrollo Pedagógico (IDEP),Rafael Ayala Sáenz (Coordinador Grupo E); Alonso Sáenz (Monitor),2005-12,Diciembre de 2005,"Obra colectiva que reúne testimonios, relatos y reflexiones de maestros y maestras participantes en la Cátedra de Pedagogía ""Bogotá una gran escuela"", realizada en 2004. A partir de experiencias locales en la localidad de Usme, se exploran vínculos entre ciudad, escuela y pedagogía crítica. El grupo E, coordinado por Rafael Ayala, construyó un texto colectivo a partir de vivencias, memorias y narrativas territoriales de los docentes sobre su formación, su entorno, la ciudad y sus estudiantes.",Educación; Ciudad; Escuela; Pedagogía Crítica; Experiencias Docentes; Memoria; Localidad de Usme; Formación Docente; Narrativas Territoriales; Bogotá una gran escuela; Participación; Políticas Educativas; Identidad Docente; Escuela Galán; Alcaldía de Bogotá,Secretaria General Alcaldía Mayor de Bogotá,4.5958408,-74.0734374,Secretaría de Educación del Distrito; Instituto para la Investigación Educativa y el Desarrollo Pedagógico (IDEP); Editorial Santillana,,text,,application/pdf,ts_gesc_2005.pdf,
puj_lec,Los aprendizajes derivados de la investigación,Pontificia Universidad Javeriana,Rafael Ayala Sáenz,2015-03,Marzo de 2015,"Capítulo que analiza aprendizajes en lectura y escritura adquiridos por estudiantes de primer año de universidad, contrastando lo esperado por estándares oficiales y lo que efectivamente expresan haber aprendido en educación media.",Lectura; Escritura; Alfabetización académica; Evaluación; Educación superior; Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,4.63123412,-74.06411201,"Capítulo en libro colectivo: Formación inicial en lectura y escritura en la universidad: de la educación media al desempeño académico en la educación superior, pp. 237–270. Pontificia Universidad Javeriana. ISBN 978-958-716-800-6.",,text,,application/pdf,puj_lec.pdf,
uhpc_2001,Una historia para contar: Exposición de arte colombiano de la Colección Colsubsidio,Colsubsidio,Rafael Ayala Sáenz (Coordinador pedagógico y autor de textos de sala),2001-06,Junio de 2001,Catálogo pedagógico de la exposición de arte colombiano contemporáneo presentada por Colsubsidio. Incluye textos curatoriales que explican la obra de artistas nacionales desde una mirada crítica y pedagógica. Rafael Ayala Sáenz desarrolla contenidos didácticos dirigidos a públicos escolares.,Colsubsidio; Arte colombiano; Educación artística; Curaduría pedagógica; Museo de Museos; Arte contemporáneo; Pedagogía museal,Museo De Museos Colsubsidio,4.626465512,-74.07861096,"Colsubsidio, Museo de Museos, junio de 2001",,text,,application/pdf,uhpc_2001.pdf,
