objectid,title,creator,author,date,display_date,description,subject,location,latitude,longitude,source,object_location,rights,type,format
1992-12-06_golalrock,Gol al rock,Periódico El Tiempo,Anónimo,06/12/1992,6 de diciembre de 1992,"Nota sobre la visita de Guns N’ Roses a Colombia en diciembre de 1992, con su esperado concierto en el Estadio El Campín de Bogotá. El artículo contextualiza la llegada de la agrupación como parte de la ola de grandes espectáculos internacionales que empezaban a tener lugar en el país, y destaca la expectativa de miles de seguidores que llenaron el estadio. La nota recuerda que el rock internacional entraba a competir con la escena local, la cual ya contaba con bandas en ascenso como Kraken y Compañía Ilimitada. El texto enfatiza el carácter histórico del recital de Axl Rose y Slash en Bogotá, considerado un “gol al rock” por su magnitud y por abrir la puerta a futuros conciertos masivos; Kronos, banda nacional fueron los teloneros.",Guns N’ Roses; Kronos; Rock Internacional; Rock Nacional; Conciertos En Bogotá; Estadio El Campín; Axl Rose; Slash; Rock En Colombia; Kraken; Compañía Ilimitada; Grandes Espectáculos En Colombia; Violencia En Conciertos; Masas Juveniles; Rock Y Desorden; Rock Colombiano; Rock Nacional; Gol Al Rock,"Bogotá, Estadio El Campín",4.646.389,-74.078.611,Periódico El Tiempo,No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1988-09-18_bogotaatodorock,Bogotá a todo rock,Periódico El Tiempo,Eduardo Arias,18/09/1988,18 de septiembre de 1988,"Reportaje sobre el megaconcierto incluido en la programación “Bogotá en Armonía”, relatado como un evento sin precedentes por su duración y su estructura técnica: dos escenarios en rotación y una programación continua que aspiraba a mantener el flujo de público durante largas horas. El autor describe el cartel, la logística y las expectativas de la ciudad, mencionando la participación de artistas internacionales como Miguel Mateos y Los Prisioneros, al tiempo que destaca la presencia de agrupaciones colombianas que subieron a la gran tarima, Pasaporte, Compañía Ilimitada y La Calle. La crónica detalla cómo estas jornadas ampliaron la visibilidad de proyectos locales y cómo la convivencia de propuestas foráneas y nacionales dio forma a un público que legitimaba el rock en español. También recoge episodios puntuales sobre el control de accesos, la organización técnica y la sensación colectiva de estar ante un hito cultural para Bogotá.",Bogotá En Armonía; Miguel Mateos; Los Prisioneros; Pasaporte; Compañía Ilimitada; La Calle; Producción De Espectáculos; Estadio El Campín; Rock En Español; Conciertos Masivos En Bogotá,"Bogotá, Estadio El Campín",4.646.389,-74.078.611,"Periódico El Tiempo, pág. 21",No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1994-09-23_catedral,Catedral quiere la consagración,Periódico El Tiempo,Anónimo,23/09/1994,23 de septiembre de 1994,"Perfil extenso de la banda Catedral en el momento de su primer lanzamiento discográfico, que reconstruye su trayectoria desde los primeros ensayos hasta su proyección regional. La nota identifica a los integrantes Amos Piñeros, Tomás Rueda, Miguel Navas y José Tomás Giraldo y narra el equilibrio entre la vida cotidiana, servicio militar, trabajos, y la actividad musical; describe el sonido de la banda, sus influencias y la estética asociada al metal/rock alternativo de la época. Se documenta el registro de su sencillo “Picando el sol” y la producción del respectivo video a cargo de Mateo Castillo y Germán Núñez; además se señala la expectativa ante la posibilidad de trascender el circuito underground. La crónica enfatiza la seriedad de la propuesta, la disciplina del grupo y la recepción crítica local en el momento de su aparición.",Catedral; Amos Piñeros; Tomás Rueda; Miguel Navas; José Tomás Giraldo; Picando El Sol; Mateo Castillo; Germán Núñez; Debut Discográfico; Metal Colombiano; Escena Alternativa Bogotana; Rock Colombiano; Rock De Bogotá; Rock Nacional,"Bogotá, Colombia",4.596.389,-74.081.667,Periódico El Tiempo pág. Última B,No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1991-07-20_comunasalegria,Comunas en fiesta por la alegría,Periódico El Colombiano,Carlos Mario Correa S.,20/07/1991,20 de julio de 1991,"Crónica de la “Segunda Semana por la Vida, la Paz y la Convivencia” celebrada en la Comuna Nororiental de Medellín, que incluyó una programación variada de actividades culturales, deportivas y conciertos gratuitos. El artículo describe cómo el rock fue convocado como factor de atracción juvenil: la banda Kraken es reportada como uno de los actos centrales en la Plaza de Toros La Macarena, capaz de movilizar a un público joven numeroso. La nota recoge palabras de organizadores y asistentes, enfatiza el esfuerzo por ofrecer alternativas de ocio y convoca la idea de la cultura como herramienta de convivencia en un contexto urbano complejo. Se documentan detalles logísticos del evento, la presencia de familias y la mezcla de géneros musicales en la programación.",Segunda Semana por la Vida; Kraken; Rock en Medellín; Plaza de Toros La Macarena; Cultura barrial; Juventud y convivencia; Actividades comunitarias; Festivales gratuitos,"Medellín, Plaza de Toros La Macarena",6.244.444,-75.578.611,Periódico El Colombiano,No aplica,Derechos periódico El Colombiano,Image,image/jpeg
1993-08-20_nochemagica,A la espera de una noche mágica,Periódico El Tiempo,Martha De Socarraz,20/08/1993,20 de agosto de 1993,"Artículo que anuncia la expectativa por la presentación de Kronos, agrupación caleña de heavy metal integrada por Jorge Fresquet (voz), David Corcho (guitarra), Isi Toledo (bajo) y Andrés Mora (batería). La nota enfatiza la preparación de un video que precede al concierto, destacando la fuerza escénica de la banda y el compromiso de sus integrantes por ofrecer un espectáculo con un sonido sólido y potente. El énfasis está puesto en la energía y en el montaje visual y musical con el que Kronos buscaba consolidar su lugar en la escena del rock nacional.","Kronos; Jorge Fresquet; David Corcho; Isi Toledo; Andrés Mora; Rock Colombiano; Heavy Metal; Conciertos En Bogotá; Rock Naciona
","Bogotá, Colombia",4.596.389,-74.081.667,"Periódico El Tiempo, pág. 2C",No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1991-07-25_aceroymetal,Acero y metal,Periódico El Mundo,Sergio Ramírez,25/07/1991,25 de julio de 1991,"Crónica del regreso de Kraken a los escenarios de Medellín, en la plaza de toros La Macarena, tras más de tres años de ausencia. El concierto se caracterizó por una elaborada producción con efectos de luces y sonido, y la presentación de dos nuevos integrantes: Jaime Ochoa en teclados y Luis Fernando Álvarez en batería. El artículo resalta la fuerza interpretativa de Elkin Ramírez como líder, y la capacidad de la banda para convocar a un público masivo con su propuesta de hard rock y heavy metal en español. La nota también subraya el ambiente festivo y la ausencia de disturbios, lo que marcó un contraste con conciertos anteriores.",Kraken; Elkin Ramírez; Jaime Ochoa; Luis Fernando Álvarez; Medellín; La Macarena; heavy metal colombiano; conciertos en vivo; Rock Nacional; Rock Colombiano,"Medellín, Plaza de Toros La Macarena",6.244.444,-75.578.611,Periódico El Mundo pág. 5,No aplica,Derechos periódico El Mundo,Image,image/jpeg
1989-11-03_alertaroja,Alerta roja: signos vitales,Periódico La Prensa,Anónimo,03/11/1989,3 de noviembre de 1989,"El artículo anuncia el ""Super Concierto Colombia Rock en Español '89"", un evento musical que tuvo lugar durante ese fin de semana en la Feria Exposición de Bogotá. El concierto reunió a más de diez mil asistentes y contó con la participación de diez bandas nacionales: Signos Vitales, Alerta Roja, Retien, Fike Banda, Gamma Ciudad de Oro, Zuguy Buguy, Adaxz, Chiffis e IXR. Además de su propósito musical, el evento sirvió para rodar escenas de la película colombiana 'SIDA', una producción de ARB que buscaba concienciar sobre esta enfermedad, comparada en el texto con una plaga moderna. El artículo critica la escasa cobertura informativa sobre el SIDA en los medios de comunicación colombianos de la época y menciona la prohibición por parte del Consejo de Televisión de un comercial sobre preservativos el año anterior. Asimismo, se disputó la ""Copa Elvis Presley"" como incentivo a la creatividad de las bandas locales. La nota destaca la magnitud del concierto, con más de diez mil asistentes, y la intención de asociar la fuerza del rock nacional a una campaña de prevención de alcance cultural.
",Alerta Roja; Signos Vitales; Retter; Filo; Ekhymosis; Gamma Ciudad de Oro; Zuquy Bugy; Audux; Compañía Ilimitada; Feria Exposición de Bogotá; rock en español; Rock Nacional; Rock Colombiano; Concierto de rock; Bandas nacionales; Prevención del SIDA; Cine colombiano; Mercado musical; Salud pública; Medios de comunicación; Juventud.,"Bogotá, Feria Exposición",4.639.722,-74.094.167,Periódico La Prensa pág. 20 ,No aplica,Derechos periódico La Prensa,Image,image/jpeg
1989-08-15_comoacabarconelrock,Cómo acabar con el rock,Periódico El Espectador,Karl Troller,15/08/1989,15 de agosto de 1989,"El artículo presenta una crítica profunda al estado del rock en Colombia a finales de la década de 1980. El autor argumenta que el género enfrenta un declive debido a múltiples factores: la desaparición de programas radiales especializados, la falta de espacios para bandas locales, la ausencia de revistas críticas, el desconocimiento de profesores de música, la prohibición de importación de discos, la escasez de almacenes especializados y la pobre oferta de artistas internacionales que visitan el país. Además, señala que discos fundamentales de bandas como Sex Pistols, The Clash y U2 nunca fueron lanzados oficialmente en Colombia, lo que limita el acceso a referentes clave. El texto también critica la superficialidad de la radio colombiana, que se centra en éxitos comerciales y ignora la diversidad de subgéneros y producciones alternativas, concluyendo que este entorno restrictivo y comercial impide el desarrollo de una escena rock sólida y original en el país. La nota denuncia el desinterés de los medios de comunicación, la ausencia de programas especializados y la carencia de circuitos de circulación para las bandas locales, que permanecían marginadas frente a la avalancha de música extranjera.",Karl Troller; rock colombiano; crítica cultural; Sex Pistols; punk; industria discográfica; El Espectador; Crítica musical; Medios de comunicación; Radio; Industria discográfica; Cultura rock; Políticas culturales; Underground; Importación de discos; Educación musical; Globalización cultural; Rock Nacional,"Bogotá, Colombia",4.596.389,-74.081.667,Periódico El Espectador pág. 3E y 4E,No aplica,Derechos periódico El Espectador,Image,image/jpeg
1986-11-08_companiacartas,"Compañía Ilimitada, cartas sobre la mesa",Periódico El Espectador,Anónimo,08/11/1986,8 de noviembre de 1986,"Este artículo presenta a Compañía Ilimitada en un momento decisivo de su trayectoria, consolidándose como producto de consumo nacional dentro del panorama del rock colombiano. El artículo destaca el respaldo del productor inglés Andrew Loog Oldham, famoso por su trabajo con los Rolling Stones, quien apoyaba a la banda en la búsqueda de un sonido renovado con proyección internacional. La crónica recuerda la trayectoria de doce años de la agrupación y reseña su participación junto a Soda Stereo en un concierto de la Feria Exposición de Bogotá, con presentaciones posteriores en Medellín. Se subraya que la banda atravesaba una etapa decisiva de su carrera, orientada hacia la profesionalización y que su música ha sido bien recibida por el público.","Compañía Ilimitada; Juan Manuel Pulido “Juancho”; Camilo Jaramillo “Pyvo”; Andrew Loog Oldham; Soda Stereo; Feria Exposición de Bogotá; rock colombiano;álbum musical, prensa cultural","Bogotá, Feria Exposición",4.639.722,-74.094.167,Periódico El Espectador pág. 6,No aplica,Derechos periódico El Espectador,Image,image/jpeg
1993-12-10_companiaenalza,Compañía Ilimitada en alza,Periódico El Tiempo,Andrés Zambrano D.,10/12/1993,10 de diciembre de 1993,"Este artículo presenta a Compañía Ilimitada como protagonista de un concierto por los Derechos Humanos en el teatro Jorge Eliécer Gaitán, en un momento de creciente reconocimiento dentro de la escena musical colombiana. El texto destaca la evolución del grupo con una propuesta que fusiona rock y pop, y que incorpora temas sociales en su narrativa sonora y lo sitúa junto a otros artistas invitados al evento: Iván y Lucía y Hernán Salazar,  en una jornada que articula música y activismo. El artículo construye una narrativa de ascenso artístico, legitimación pública y participación en causas colectivas, donde Compañía Ilimitada se consolida como referente de una generación que vincula música con conciencia.",Compañía Ilimitada; Juan Manuel Pulido; Camilo Jaramillo; Iván Y Lucía; Hernán Salazar; Jorge Eliécer Gaitán; Concierto Por Los Derechos Humanos; Rock Colombiano; Compañía Ilimitada; Iván Y Lucía; Hernán Salazar; Jorge Eliécer Gaitán; Bogotá; Derechos Humanos; Concierto; Rock Colombiano; Pop Colombiano; Prensa Cultural; Activismo Musical,"Bogotá, Teatro Jorge Eliécer Gaitán",4.627.500,-74.066.111,"Periódico El Tiempo, pág. 12C",No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1993-06-04_companiaencompacto,Compañía en compacto,Periódico El Tiempo,Anónimo,04/06/1993,4 de junio de 1993,"El artículo describe la etapa de reinvención del dúo colombiano Compañía Ilimitada, integrado por Exilio y Pypo, quienes tras años de éxito con baladas que alcanzaron popularidad en Colombia y Ecuador, buscan relanzar su carrera con un nuevo enfoque. Ante la dificultad de competir en igualdad de condiciones con grupos mexicanos y argentinos debido a la falta de publicidad y espacios en radio y televisión, el dúo decide grabar un compacto con sus mejores temas y tres nuevas composiciones, apostando por una propuesta más íntima y minimalista sin banda de acompañamiento, resaltando así la esencia de sus canciones con piano y guitarra. La nota destaca su presentación en el teatro Los Ladrillos de Chía como parte de un festival rockero, junto con agrupaciones como La Corte y Why Six, marcando un regreso a escenarios con un concepto intuitivo y divertido, lejos de las grandes orquestaciones de su etapa anterior.",Compañía Ilimitada; Juan Manuel Pulido “Juancho”; Camilo Jaramillo “Pyvo”; Los Ladrillos; La Corte; Why Six; Fusión Musical; Compañía Ilimitada; Rock Colombiano; Reinvención Musical; Industria Discográfica; Baladas; Festivales Rockeros; Teatro Los Ladrillos; Música Acústica.,"Chía, Teatro Los Ladrillos",4.859.722,-74.058.611,"Periódico El Tiempo, pág. 7C",No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1993-10-22_companiaensolitario,Compañía en solitario,Periódico La Prensa,Dr. Rock,22/10/1993,22 de octubre de 1993,"El artículo presenta una entrevista con Juancho, vocalista y pianista de la banda colombiana Compañía Ilimitada, realizada por el periodista Dr. Rock. La entrevista profundiza en la trayectoria, desafíos y aspiraciones del grupo, destacando el lanzamiento de su nuevo disco ""Crónica bajo el sí"", una compilación de 15 años de carrera que incluye versiones renovadas de temas clásicos como ""Estado Inmóvil"" y ""Siloé"" (estos últimos con arreglos influenciados por el productor Andrew Loog Oldham). Juancho critica la explotación comercial del rock por parte de empresarios y disqueras, la falta de apoyo promocional de Sony Music para proyección internacional, y el contraste entre el éxito no monetizado de sus canciones en países como Bolivia, Ecuador, Panamá y Venezuela, donde alcanzaron primeros lugares en radio, y las dificultades económicas que persisten para la banda en Colombia. También menciona giras frustradas, la necesidad de políticas de intercambio artístico con mercados como México, y la inequidad en los cachés entre artistas locales e internacionales. El texto refleja la resiliencia del dúo, Juancho y Piyo, su fe en el material nuevo para abrir mercados en América Latina. El artículo subraya la importancia del momento histórico, cuando el rock nacional empezaba a encontrar mayor reconocimiento en medios y públicos.",Compañía Ilimitada; Juan Manuel Pulido; Camilo Jaramillo; Dr. Rock; entrevistas; trayectoria musical; Compañía Ilimitada; Entrevista; Juancho; Industria discográfica; Rock colombiano; Promoción musical; Giras internacionales; Sony Music; Andrew Loog Oldham; Desafíos económicos; Éxitos radiales; Mercado latinoamericano.,"Bogotá, Colombia",4.596.389,-74.081.667,Periódico La Prensa pág. 5,No aplica,Derechos periódico La Prensa,Image,image/jpeg
1988-09-3_companiacontacto,Compañía Ilimitada: Contacto,Periódico La Prensa,Anónimo,03/09/1988,3 de septiembre de 1988,"El artículo anuncia el lanzamiento del primer disco de la banda bogotana Compañía Ilimitada, titulado ""Contacto"", en un evento realizado en el Teatro 85 que incluyó videos, discursos y un show del dúo formado por Juan Manuel ""Juancho"" Pulido (pianista y guitarrista) y Camilo ""Pypo"" Jaramillo (cantante), quienes fueron acompañados por músicos de apoyo distintos a los utilizados en la grabación de los diez temas del álbum en Miami, donde trabajaron durante cinco meses con colaboradores como Néstor Gómez (guitarrista de Exposé) y Robbie Driggs (exbaterista de Miami Sound Machine). El disco resumió la trayectoria del grupo desde 1983, combinando canciones antiguas como ""Qué sería"", ""Cometas"" y ""La puerta"" con nuevas composiciones, y exploró géneros que iban desde la balada romántica (""Siempre estaré"") hasta el reggae (""Amigo"", ""Contacto"") y el rock energético (""Siloé"", ""La calle""), siendo descrito como un trabajo muy bien producido que se esperaba abriera las puertas al rock colombiano; el artículo también incluyó breves reseñas del disco ""Akwaba Beach"" del músico africano Mory Kante y ""Inside Information"" de la banda Foreigner.",Compañía Ilimitada; Juan Manuel Pulido; Camilo Jaramillo; Contacto; Néstor Gómez; rock colombiano; Compañía Ilimitada; Lanzamiento discográfico; Álbum Contacto; Rock Nacional; Producción musical; Baladas; Reggae; Fusión musical; Teatro 85; Miami.,"Bogotá, Teatro 85",4.675.000,-74.056.389,Periódico La Prensa pág. 15,No aplica,Derechos periódico La Prensa,Image,image/jpeg
