objectid,title,creator,author,date,display_date,description,subject,genre,location,latitude,longitude,source,object_location,rights,type,format
1987-04-11_invasionmetal,"Kronos, Kraken, Kocoa y Oxmozis invaden Bogotá",Periódico El Espectador,Tatiana Munévar Bahamón,11/4/1987,11 de abril de 1987,"Nota sobre un concierto de bandas de metal en Bogotá, donde Kronos, Kraken, Kocoa y Oxmozis compartieron escenario. La reseña destaca la energía del público juvenil y la fuerza de la escena emergente, que empezaba a construir identidad propia en medio de la marginalidad cultural. El evento es narrado como símbolo de cohesión subcultural y resistencia a los estigmas sociales.",Bogotá; La Media Torta; Primer Festival de Rock Colombiano; Kronos; Kraken; Oxmosis; logística cultural; IDCT; Policía Metropolitana; Defensa Civil; repertorio en español; recepción del público; estética juvenil; escena interciudades; políticas culturales; Rock colombiano; Rock nacional; Kocoa; metal colombiano; juventud; cohesión subcultural; prensa cultural.,Crónica,Teatro al Aire Libre La Media Torta,"4,6003444","-74,0659169",El Espectador p. 4B,,© Derechos de autor pertenecen al periódico El Espectador. Uso académico sin fines comerciales.,Image,image/jpeg
1987-07-04_conciertoamistad,El concierto de la amistad,Periódico El Mundo,Anónimo,4/7/1987,4 de julio de 1987,"Breve nota publicada en la sección Sonoclip que anuncia la realización de El concierto de la amistad, un evento musical con espíritu de celebración y encuentro. Aunque no se detallan los artistas participantes, el texto sugiere que se trata de una propuesta que combina música y valores afectivos, enmarcada dentro de la programación cultural del momento. Refleja el uso del rock y otros géneros como vehículo para promover mensajes de unidad y convivencia, en una época donde los conciertos comenzaban a adquirir un carácter simbólico en la vida urbana colombiana.",concierto de la amistad; Sonoclip; música y valores; cultura juvenil; eventos musicales; prensa cultural; Rock Nacional,,"Bogotá D. C., Colombia","4,6489055","-74,4375009","El Mundo, pág. 3B",,© Derechos de autor pertenecen al periódico El Mundo. Uso académico sin fines comerciales.,Image,image/jpeg
1988-30-01_contactoilimitado,"Esta noche hacemos ""Contacto""",Periócido El Siglo,Anónimo,31/1/1988,30 de enero de 1988,"Este artículo analiza el nuevo ciclo artístico de Compañía Ilimitada a través del lanzamiento de su álbum Contacto, destacando la evolución sonora y estética de la banda dentro del panorama del rock colombiano. Con un enfoque en la Cobertura del lanzamiento en gala de Contacto, el LP de Compañía Ilimitada, presentado como hito de “madurez musical” para el rock en español en Colombia. El relato contrapone los “lanzamientos íntimos” con un evento de gran formato producido por Metro Producciones y CBS, con despliegue técnico (pantalla gigante, luces, sonido) y presencia de figuras públicas (Andrés Pastrana, César Gaviria, Luis Carlos Galán, Álvaro Leyva), lo cual sitúa la música juvenil en la agenda cultural y política. La nota reivindica la persistencia del grupo (nueve años de trabajo) frente al carácter efímero del mercado, y articula memoria, profesionalización y mercado discográfico como condiciones de posibilidad de la escena. Para tu análisis, aporta evidencia sobre la integración entre industria musical, medios y élites políticas en la transición del rock nacional hacia públicos masivos.",Compañía Ilimitada; Álbum Contacto; CBS; Metro Producciones; lanzamiento en gala; industria discográfica; prensa cultural; política y música; Andrés Pastrana; César Gaviria; Luis Carlos Galán; Álvaro Leyva; profesionalización; Bogotá; Rock colombiano; Rock nacional; Contacto; evolución musical; medios de comunicación; Los Flippers; La Banda Nueva; cultura juvenil; estética visual; álbum musical; transformación artística; cultura urbana; identidad sonora; generación rockera.,Reportaje,"Bogotá D. C., Colombia","4,6489055","-74,4375009","El Siglo, pág. 1C",,© Derechos de autor pertenecen al periódico El Siglo. Uso académico sin fines comerciales.,Image,image/jpeg
1988-02-18_genesisnormal,De nuevo Génesis: “absolutamente normal”,Periódico El Siglo,Anónimo,18/2/1988,18 de febrero de 1988,"Perfil histórico de Génesis y crónica de su reaparición con el LP Absolutamente normal, autogestionado junto a Discos Diamante. Las declaraciones de Humberto Monroy explican el ciclo de apariciones/desapariciones como efecto de la precariedad empresarial del músico en Colombia, y presentan la idea de “empresa de música” como horizonte para sostener proyectos. El artículo caracteriza el “rock andino” de la banda (flautas, rondadores, percusión nativa) en diálogo con instrumentación eléctrica, y reconstruye trayectorias individuales y repertorios que conectan con Los Speakers. La pieza aporta claves para entender hibridaciones estéticas, autonomía productiva y redes familiares/afectivas que sostienen la continuidad de la creación. Útil para cartografiar genealogías del rock nacional y sus cruces con el folclor urbano.",Génesis; Humberto Monroy; Discos Diamante; Absolutamente normal (álbum); rock andino; hibridación sonora; autogestión; empresa musical; instrumentos andinos; Bogotá; Los Speakers; memoria musical; industria independiente; Rock colombiano; Rock nacional; regreso musical; historia del rock.,Perfil,"Bogotá D. C., Colombia","4,6489055","-74,4375009","El Siglo, pág. 17",,© Derechos de autor pertenecen al periódico El Siglo. Uso académico sin fines comerciales.,Image,image/jpeg
1988-03-06_rocknacionalenellimbo,Rock nacional: en el limbo,Periódico El Tiempo,Jorge León Pineda,6/3/1988,6 de marzo de 1988,"Columna de opinión que diagnostica la “encrucijada” del rock y pop colombianos ante dos cuellos de botella: la promoción radial insuficiente y las deficiencias técnicas de grabación/usos del acetato, en un ecosistema mediático que privilegia repertorios extranjeros. El texto cruza posiciones de disqueras (CBS) y estaciones (88.9, Todelar, Tequendama, Cerros Stereo) sobre cuotas de emisión, estrategias de rotación y “programas especializados”, y alerta sobre la piratería como freno a la distribución promocional. Para tu tesis, la pieza es central como fuente de clima de opinión sobre políticas de difusión, barreras de mercado y construcción mediática del “éxito” (rotación mínima, semanas). Señala, además, la paradoja de un talento local subestimado pese al auge regional del rock en español",radiodifusión; 88.9; Todelar Stereo; Radio Tequendama; Cerros Stereo; CBS; promoción musical; cuotas de emisión; piratería; industria discográfica; circulación cultural; políticas de medios; opinión pública; Rock colombiano; Rock nacional; Escena nacional; Industria musical; Medios de comunicación; Radio Tequendama Stereo; Superestación; industria musical; medios de comunicación; invisibilización cultural; prensa cultural; El Tiempo; agrupación colombiana.,Opinión,"Bogotá D. C., Colombia","4,6489055","-74,4375009","El Tiempo, pág. 5B",,© Derechos de autor pertenecen al periódico El Tiempo. Uso académico sin fines comerciales.,Image,image/jpeg
1988-25-03_danger,"Danger, monumento a la tenacidad",Periódico El Mundo,Anónimo,25/3/1988,mediados de los 80s,"Ensayo-perfil sobre Danger como emblema de la ética del trabajo en el ultrametal paisa: un proyecto forjado entre carencias, autoconstrucción de instrumentos, rifas y persistencia. El texto reconstruye su origen (Black Snow, 1982), su tránsito de influencias (Sabbath, Judas, Scorpions, Saxon) al ultrametal, y sus apuestas estéticas/ideológicas (violentar “lo mental”, protesta social). También registra su participación en la Batalla de las Bandas (1985) y el plan de debut discográfico con Faster Producciones (“Las brujas de Salem”; “El inconforme”) como vía independiente frente al desinterés de majors. El artículo sitúa a Danger dentro de una ecología de escenas (punks, ultras, heavys) y argumenta por un “dejar ser” que permita florecer la diversidad musical de Medellín.",Black Angel; Exodus; Slayer; Metallica; Medellín; Batalla de las Bandas; rock colombiano; Rock Nacional; Danger; Ultrametal; Underground; Autogestión; Crítica social; Antonio Calao; Faster Producciones; Heavy metal; Resistencia cultural; Juventud; Industria discográfica; Black Snow; Opus; Las brujas de Salem; El inconforme; ética del trabajo; influencias internacionales; escenas juveniles.,Perfil,"Medellín, Colombia","6,2443677","-75,6636154",El Mundo pág. 4B,,© Derechos de autor pertenecen al periódico El Mundo. Uso académico sin fines comerciales.,Image,image/jpeg
1988-04-08_rockpaisabogota,Fin de semana con rock paisa en Bogotá,Periódico El Tiempo,Xiomara Ivonne Martínez,8/4/1988,8 de abril de 1988,"Nota de agenda que anuncia fin de semana con rock paisa en Bogotá con Kraken y Clímax en Nix y Keop’s, en clave de mostrar la evolución del sonido medellinense ante públicos capitalinos. La pieza perfila a Kraken (mensajes de superación, “línea tecnológica” desde el heavy, letras propias en español) y recuenta esfuerzos materiales (venta puerta a puerta para comprar instrumentos) como signo de ethos emprendedor en la escena. A la vez, visibiliza circuitos de clubes y un público que busca medir el estado del rock nacional fuera de festivales, en plazas privadas de alto flujo. Documento útil para mapear circuitos, repertorios y narrativas de identidad que acompañan la expansión interurbana del género.",Bogotá; Nix Club; Keop’s; Medellín; Kraken; Clímax; heavy metal; mensajes de superación; circuitos de clubes; economías musicales; circulación interurbana; público juvenil; prensa cultural; Rock colombiano; Rock nacional; intercambio musical.,Agenda,"Bogotá D. C., Colombia","4,6489055","-74,4375009","El Tiempo, pág. 2B",,© Derechos de autor pertenecen al periódico El Tiempo. Uso académico sin fines comerciales.,Image,image/jpeg
1988-04-10_rockanrol,30 Años de Rockanrol,Periódico El Tiempo,Anónimo,10/4/1988,10 de abril de 1988,"Panorama histórico del rock en Colombia y su diálogo con América, desde la irrupción de Bill Haley y Elvis y la histeria juvenil de los cincuenta hasta la Nueva Ola, los festivales de la calle 60 y el Parque Nacional y el sincretismo de Génesis con ritmos locales. El texto reconstruye la entrada del género vía radio y cine, la estética juvenil de la época y la masificación de conciertos, y enlaza nombres como The Beach Boys, Janis Joplin, Santana, The Who y Ten Years After para explicar ciclos que van del rock pesado al sonido de Filadelfia y la era del video. Se perfila a Los Speakers y Los Flippers como pioneros y se traza una línea de continuidad hacia los ochenta, cuando la electrónica y el videoclip reordenan la escucha.",historia del rock en Colombia; Bill Haley; Elvis Presley; The Beatles; The Rolling Stones; The Beach Boys; Janis Joplin; Santana; The Who; Ten Years After; Nueva Ola; calle 60; Parque Nacional; Génesis banda; ritmos colombianos; Los Speakers; Los Flippers; masificación de conciertos; Rock colombiano; Rock nacional; Rock internacional en Colombia,Reportaje,"Bogotá D. C., Colombia","4,6489055","-74,4375009","El Tiempo, Lecturas Dominicales, pág. 8",,© Derechos de autor pertenecen al periódico El Tiempo. Uso académico sin fines comerciales.,Image,image/jpeg
1988-04-10_nuevaola,Nueva Ola,Periódico El Tiempo,Anónimo,10/4/1988,10 de abril de 1988,"Crónica de la irrupción de la Nueva Ola en Colombia con Radio 15 como plataforma y el Clan Estudio 15 como incubadora de figuras. Se perfilan Harold Orozco y Óscar Golden como rostros caleños del primer boom, al lado de Lida Zamora, mientras el Club del Clan impulsa nuevas voces. El relato destaca a Los Speakers y Los Flippers como pioneros bogotanos por los que pasaron varias generaciones de músicos, y sitúa a Humberto Monroy como nodo de tránsito hacia el folk rock de Génesis. La pieza muestra cómo medios, giras y primeros sencillos en sellos grandes abrieron mercado juvenil y hábitos de consumo cultural.",Nueva Ola; Radio 15; Clan Estudio 15; Harold Orozco; Óscar Golden; Lida Zamora; Club del Clan; Los Speakers; Los Flippers; Humberto Monroy; Génesis banda; mercado juvenil; medios de comunicación; Bogotá; Cali; Rock colombiano; Rock nacional,Reportaje,"Bogotá D. C., Colombia","4,6489055","-74,4375009","El Tiempo, pág. 9",,© Derechos de autor pertenecen al periódico El Tiempo. Uso académico sin fines comerciales.,Image,image/jpeg
1988-05-08_companiailimitada,Rock Colombiano - Compañía Ilimitada Contacto con la Música,Periódico El Siglo,Juanita Samper Ospina y Juan Carlos Iragorri,8/5/1988,8 de mayo de 1988,"Artículo en dos páginas que analiza el papel de Compañía Ilimitada en la Entrevista de largo aliento con Compañía Ilimitada que reconstruye su biografía creativa, desde colegios y murgas hasta bares y TV, la transición definitiva al español y el camino hacia Contacto (CBS). Las voces de Camilo Jaramillo y Juan Manuel Pulido articulan técnica (teoría, armonía, arreglos), memoria del grupo, obstáculos del mercado y el papel de Andrew Loog Oldham como garante de dirección artística. El texto discute especificidades del mercado colombiano (cinco ciudades principales con hábitos distintos), y revisa composición, canciones emblemáticas como “Siloé”, tensiones con drogas, y la necesidad de un “contacto ilimitado” entre público y rock en español. Documento clave para tu eje de profesionalización, industria y construcción de un canon del rock colombiano en la prensa.",Compañía Ilimitada; Siglorama; rock colombiano; industria musical; identidad sonora; profesionalización; Juanita Samper Ospina; Juan Carlos Iragorri; Camilo Jaramillo; Juan Manuel Pulido; Andrew Loog Oldham; CBS; Contacto (álbum); Siloé; proceso creativo; formación musical; bares y televisión; mercado colombiano (cinco ciudades); drogas y música; entrevistas; Rock nacional.,Entrevista,"Bogotá D. C., Colombia","4,6489055","-74,4375009","El Siglo, pág. 1 y 3-B",,© Derechos de autor pertenecen al periódico El Siglo. Uso académico sin fines comerciales.,Image,image/jpeg
1988-08-14_nuevocomienzo,Da Capo: La altura de un nuevo comienzo,Periódico El Siglo,Isleny Cruz Carvajal,14/8/1988,14 de agosto de 1988,"Reportaje sobre Da Capo y su programa de “nuevo comienzo” para la música moderna en Colombia: del jazz-rock y complejidad técnica a una segunda etapa (1987–1988) de canciones más cotidianas sin perder elaboración sonora. El texto enfatiza el doble frente del grupo: rock en español y construcción de empresa-espectáculo (luces, sonido, ingeniería) para estar “a la altura” de shows internacionales, además del itinerario con CBS (sencillo promocional “Ciudad de hierro” / “Sueño de libertad”) y giras. La pieza detalla cambios de formación (Pablo Bernal, Ricardo Rodríguez), repertorios y temas (“Bogotá”, “Alerta roja”), y explica la búsqueda de identificación con culturas urbanas jóvenes. Es fuente clave para tu mapa de profesionalización técnica y de circulación regional del rock nacional.",Da Capo; Manuel Escobar; Iván Correa; Filippo Agostino; Pablo Bernal; Ricardo Rodríguez; CBS; Ciudad de hierro; Sueño de libertad; jazz-rock; reggae; punk; empresa-espectáculo; técnica en vivo; giras; Rock colombiano; Rock nacional; renovación artística; Medellín; bandas emergentes; identidad musical; años ochenta.,Reportaje,"Medellín, Colombia","6,2443677","-75,6636154","El Siglo, pág. 4, Siglorama",,© Derechos de autor pertenecen al periódico El Siglo. Uso académico sin fines comerciales.,Image,image/jpeg
